Sr. No.,Frame Material,Pane Material,Frame E [GPa],Frame K IC [MPa m^[1/2]],Frame alpha [1E-6/K],Frame k [W/m-K],Frame kappa [W m^2/J],Pane E [GPa],Pane K IC [MPa m^[1/2]],Pane alpha [1E-6/K],Pane k [W/m-K],Pane kappa [W m^2/J],Pane Area,Fillet Scale,Pane Depth,Frame Scale,Frame Safety Factor,Pane Safety Factor,Frame Fracture Factor,Pane Fracture Factor
35,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.25,0.025,0.975,0.876,0.106,5.754,0.065
36,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.5,0.025,0.975,0.816,0.107,1.446,0.064
37,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.25,0.01,0.95,0.91,0.083,0.732,11.757
38,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.5,0.01,0.95,0.897,0.082,0.613,11.272
39,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.25,0.01,0.975,0.919,0.084,0.451,13.279
40,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.5,0.01,0.975,0.917,0.083,0.465,13.205
41,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.25,0.01,0.95,0.603,0.046,0.21,0.196
42,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.5,0.01,0.95,0.614,0.046,0.212,0.199
43,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.25,0.01,0.975,0.955,0.082,0.797,4.212
44,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.5,0.01,0.975,0.574,0.046,0.218,0.19
45,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.25,0.025,0.95,1.031,0.094,0.775,11.719
46,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.5,0.025,0.95,1.022,0.093,0.721,12.726
47,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.25,0.025,0.975,1.084,0.096,0.562,12.043
48,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.5,0.025,0.975,1.046,0.094,0.57,13.856
49,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.25,0.01,0.95,0.031,0.0,0.008,0.0
50,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.25,0.01,0.95,0.027,0.0,0.005,0.0
51,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.5,0.01,0.95,0.027,0.0,0.005,0.0
52,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.25,0.01,0.975,0.04,0.001,0.012,0.001
53,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.5,0.01,0.975,0.02,0.0,0.004,0.0
54,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.25,0.025,0.95,0.024,0.0,0.006,0.0
55,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.5,0.025,0.95,0.022,0.0,0.008,0.0
56,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.25,0.025,0.975,0.026,0.0,0.007,0.0
57,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.5,0.025,0.975,0.032,0.0,0.015,0.0
58,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.01,0.95,0.246,0.018,0.457,0.058
59,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.01,0.95,0.241,0.018,0.442,0.056
60,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.01,0.975,0.226,0.017,0.78,0.058
61,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.01,0.975,0.219,0.017,0.476,0.06
62,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.01,0.95,0.231,0.02,0.618,0.08
63,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.01,0.95,0.227,0.019,0.937,0.079
64,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.01,0.975,0.201,0.017,0.42,0.065
65,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.01,0.975,0.1,0.01,0.034,0.024
66,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.025,0.95,0.309,0.024,0.497,0.071
67,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.025,0.95,0.299,0.023,0.575,0.07
68,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.025,0.975,0.29,0.022,0.782,0.072
